"Title","Year","Released","Rated","Runtime","Genre","Director","Language","Country","imdbRating","imdbVotes","imdbID","BoxOffice"
"Glen or Glenda","1953",1953-04-01,"PG","65 min","Drama","Edward D. Wood Jr.","English","United States",4.2,9012,"tt0045826","$10,158"
"Glen or Glenda","1953",1953-04-01,"PG","65 min","Drama","Edward D. Wood Jr.","English","United States",4.2,9012,"tt0045826","$10,158"
"The Wild One","1953",1954-02-01,"Approved","79 min","Crime, Drama, Romance","Laslo Benedek","English","United States",6.7,16958,"tt0047677","N/A"
"The Wild One","1953",1954-02-01,"Approved","79 min","Crime, Drama, Romance","Laslo Benedek","English","United States",6.7,16958,"tt0047677","N/A"
"The Wild One","1953",1954-02-01,"Approved","79 min","Crime, Drama, Romance","Laslo Benedek","English","United States",6.7,16958,"tt0047677","N/A"
"The Beast from 20,000 Fathoms","1953",1953-06-13,"Approved","80 min","Horror, Sci-Fi","Eugène Lourié","English, French","United States",6.6,8492,"tt0045546","N/A"
"The Beast from 20,000 Fathoms","1953",1953-06-13,"Approved","80 min","Horror, Sci-Fi","Eugène Lourié","English, French","United States",6.6,8492,"tt0045546","N/A"
"Inferno","1953",1954-07-21,"Approved","83 min","Crime, Drama, Romance","Roy Ward Baker","English","United States",7,1751,"tt0045911","N/A"
"Inferno","1953",1954-07-21,"Approved","83 min","Crime, Drama, Romance","Roy Ward Baker","English","United States",7,1751,"tt0045911","N/A"
"The 5,000 Fingers of Dr. T.","1953",1953-07-01,"G","89 min","Family, Fantasy, Music","Roy Rowland","English","United States",6.7,4367,"tt0045464","N/A"
"The 5,000 Fingers of Dr. T.","1953",1953-07-01,"G","89 min","Family, Fantasy, Music","Roy Rowland","English","United States",6.7,4367,"tt0045464","N/A"
"It Came from Outer Space","1953",1953-06-05,"Approved","81 min","Horror, Sci-Fi","Jack Arnold","English","United States",6.5,10551,"tt0045920","N/A"
"It Came from Outer Space","1953",1953-06-05,"Approved","81 min","Horror, Sci-Fi","Jack Arnold","English","United States",6.5,10551,"tt0045920","N/A"
"The Earrings of Madame De...","1953",1954-07-19,"Not Rated","105 min","Drama, Romance","Max Ophüls","French, Turkish","France, Italy",7.9,10796,"tt0046022","$130,561"
"The Earrings of Madame De...","1953",1954-07-19,"Not Rated","105 min","Drama, Romance","Max Ophüls","French, Turkish","France, Italy",7.9,10796,"tt0046022","$130,561"
"House of Wax","1953",1953-04-25,"GP","88 min","Horror","André De Toth","English","United States",7,19575,"tt0045888","$23,750,000"
"House of Wax","1953",1953-04-25,"GP","88 min","Horror","André De Toth","English","United States",7,19575,"tt0045888","$23,750,000"
"House of Wax","1953",1953-04-25,"GP","88 min","Horror","André De Toth","English","United States",7,19575,"tt0045888","$23,750,000"
"Tarzan and the She-Devil","1953",1953-06-18,"Passed","75 min","Action, Adventure","Kurt Neumann","English","United States",5.3,565,"tt0046404","N/A"
"Cat-Women of the Moon","1953",1953-09-03,"Approved","64 min","Adventure, Sci-Fi","Arthur Hilton","English","United States",3.9,1994,"tt0045609","N/A"
"Cat-Women of the Moon","1953",1953-09-03,"Approved","64 min","Adventure, Sci-Fi","Arthur Hilton","English","United States",3.9,1994,"tt0045609","N/A"
"The Man Between","1953",1953-11-02,"Not Rated","100 min","Crime, Drama, Film-Noir","Carol Reed","English, German, Russian","United Kingdom",7,2407,"tt0046031","N/A"
"Phffft","1954",1954-11-10,"Approved","88 min","Comedy, Romance","Mark Robson","English, French","United States",6.6,1918,"tt0047349","N/A"
"Touchez Pas au Grisbi","1954",1960-02-01,"Not Rated","96 min","Crime, Drama","Jacques Becker","French","Italy, France",7.7,8328,"tt0046451","$131,548"
"Touchez Pas au Grisbi","1954",1960-02-01,"Not Rated","96 min","Crime, Drama","Jacques Becker","French","Italy, France",7.7,8328,"tt0046451","$131,548"
"Touchez Pas au Grisbi","1954",1960-02-01,"Not Rated","96 min","Crime, Drama","Jacques Becker","French","Italy, France",7.7,8328,"tt0046451","$131,548"
"Seven Brides for Seven Brothers","1954",1954-08-06,"Approved","102 min","Musical, Romance, Western","Stanley Donen","English","United States",7.3,26443,"tt0047472","N/A"
"Seven Brides for Seven Brothers","1954",1954-08-06,"Approved","102 min","Musical, Romance, Western","Stanley Donen","English","United States",7.3,26443,"tt0047472","N/A"
"Seven Brides for Seven Brothers","1954",1954-08-06,"Approved","102 min","Musical, Romance, Western","Stanley Donen","English","United States",7.3,26443,"tt0047472","N/A"
"White Christmas","1954",1954-11-15,"Not Rated","120 min","Comedy, Musical, Romance","Michael Curtiz","English","United States",7.5,47016,"tt0047673","$928,298"
"White Christmas","1954",1954-11-15,"Not Rated","120 min","Comedy, Musical, Romance","Michael Curtiz","English","United States",7.5,47016,"tt0047673","$928,298"
"White Christmas","1954",1954-11-15,"Not Rated","120 min","Comedy, Musical, Romance","Michael Curtiz","English","United States",7.5,47016,"tt0047673","$928,298"
"Johnny Guitar","1954",1954-08-23,"Not Rated","110 min","Drama, Western","Nicholas Ray","English","United States",7.6,19135,"tt0047136","N/A"
"Johnny Guitar","1954",1954-08-23,"Not Rated","110 min","Drama, Western","Nicholas Ray","English","United States",7.6,19135,"tt0047136","N/A"
"Johnny Guitar","1954",1954-08-23,"Not Rated","110 min","Drama, Western","Nicholas Ray","English","United States",7.6,19135,"tt0047136","N/A"
"On the Waterfront","1954",1954-06-22,"Approved","108 min","Crime, Drama, Thriller","Elia Kazan","English, Latin","United States",8.1,161124,"tt0047296","N/A"
"On the Waterfront","1954",1954-06-22,"Approved","108 min","Crime, Drama, Thriller","Elia Kazan","English, Latin","United States",8.1,161124,"tt0047296","N/A"
"On the Waterfront","1954",1954-06-22,"Approved","108 min","Crime, Drama, Thriller","Elia Kazan","English, Latin","United States",8.1,161124,"tt0047296","N/A"
"20,000 Leagues Under the Sea","1954",1955-07-20,"G","127 min","Adventure, Drama, Family","Richard Fleischer","English","United States",7.2,36180,"tt0046672","N/A"
"20,000 Leagues Under the Sea","1954",1955-07-20,"G","127 min","Adventure, Drama, Family","Richard Fleischer","English","United States",7.2,36180,"tt0046672","N/A"
"20,000 Leagues Under the Sea","1954",1955-07-20,"G","127 min","Adventure, Drama, Family","Richard Fleischer","English","United States",7.2,36180,"tt0046672","N/A"
"Rear Window","1954",1954-09-01,"PG","112 min","Mystery, Thriller","Alfred Hitchcock","English","United States",8.5,511077,"tt0047396","$36,764,313"
"Rear Window","1954",1954-09-01,"PG","112 min","Mystery, Thriller","Alfred Hitchcock","English","United States",8.5,511077,"tt0047396","$36,764,313"
"Rear Window","1954",1954-09-01,"PG","112 min","Mystery, Thriller","Alfred Hitchcock","English","United States",8.5,511077,"tt0047396","$36,764,313"
"Them!","1954",1954-06-19,"Not Rated","94 min","Horror, Sci-Fi","Gordon Douglas","English","United States",7.2,23623,"tt0047573","N/A"
"Them!","1954",1954-06-19,"Not Rated","94 min","Horror, Sci-Fi","Gordon Douglas","English","United States",7.2,23623,"tt0047573","N/A"
"Them!","1954",1954-06-19,"Not Rated","94 min","Horror, Sci-Fi","Gordon Douglas","English","United States",7.2,23623,"tt0047573","N/A"
"Sabrina","1954",1954-10-15,"Passed","113 min","Comedy, Drama, Romance","Billy Wilder","English, French","United States",7.6,68690,"tt0047437","N/A"
"Sabrina","1954",1954-10-15,"Passed","113 min","Comedy, Drama, Romance","Billy Wilder","English, French","United States",7.6,68690,"tt0047437","N/A"
"Sabrina","1954",1954-10-15,"Passed","113 min","Comedy, Drama, Romance","Billy Wilder","English, French","United States",7.6,68690,"tt0047437","N/A"
"Hobson's Choice","1954",1954-04-19,"Not Rated","108 min","Comedy, Drama, Romance","David Lean","English","United Kingdom",7.7,8488,"tt0047094","N/A"
"Hobson's Choice","1954",1954-04-19,"Not Rated","108 min","Comedy, Drama, Romance","David Lean","English","United Kingdom",7.7,8488,"tt0047094","N/A"
"Knock on Wood","1954",1954-07-01,"Passed","103 min","Comedy","Melvin Frank, Norman Panama","English","United States",6.7,1130,"tt0047152","N/A"
"Dial M for Murder","1954",1954-05-29,"PG","105 min","Crime, Thriller","Alfred Hitchcock","English","United States",8.2,184148,"tt0046912","$24,845"
"Dial M for Murder","1954",1954-05-29,"PG","105 min","Crime, Thriller","Alfred Hitchcock","English","United States",8.2,184148,"tt0046912","$24,845"
"Dial M for Murder","1954",1954-05-29,"PG","105 min","Crime, Thriller","Alfred Hitchcock","English","United States",8.2,184148,"tt0046912","$24,845"
"Seven Samurai","1954",1956-11-19,"Not Rated","207 min","Action, Drama","Akira Kurosawa","Japanese","Japan",8.6,358600,"tt0047478","$318,649"
"Seven Samurai","1954",1956-11-19,"Not Rated","207 min","Action, Drama","Akira Kurosawa","Japanese","Japan",8.6,358600,"tt0047478","$318,649"
"Seven Samurai","1954",1956-11-19,"Not Rated","207 min","Action, Drama","Akira Kurosawa","Japanese","Japan",8.6,358600,"tt0047478","$318,649"
"A Star Is Born","1954",1954-10-16,"Passed","154 min","Drama, Musical, Romance","George Cukor","English","United States",7.5,19218,"tt0047522","$4,335,968"
"A Star Is Born","1954",1954-10-16,"Passed","154 min","Drama, Musical, Romance","George Cukor","English","United States",7.5,19218,"tt0047522","$4,335,968"
"A Star Is Born","1954",1954-10-16,"Passed","154 min","Drama, Musical, Romance","George Cukor","English","United States",7.5,19218,"tt0047522","$4,335,968"
"Executive Suite","1954",1954-04-30,"Passed","104 min","Drama, Romance","Robert Wise","English","United States",7.4,4455,"tt0046963","N/A"
"Executive Suite","1954",1954-04-30,"Passed","104 min","Drama, Romance","Robert Wise","English","United States",7.4,4455,"tt0046963","N/A"
"Journey to Italy","1954",1954-09-08,"Not Rated","97 min","Drama, Romance","Roberto Rossellini","English, Italian","Italy, France",7.3,11823,"tt0046511","N/A"
"Journey to Italy","1954",1954-09-08,"Not Rated","97 min","Drama, Romance","Roberto Rossellini","English, Italian","Italy, France",7.3,11823,"tt0046511","N/A"
"Journey to Italy","1954",1954-09-08,"Not Rated","97 min","Drama, Romance","Roberto Rossellini","English, Italian","Italy, France",7.3,11823,"tt0046511","N/A"
"The Glenn Miller Story","1954",1954-01-04,"Approved","115 min","Biography, Drama, Music","Anthony Mann","English","United States",7.3,9480,"tt0047030","N/A"
"The Glenn Miller Story","1954",1954-01-04,"Approved","115 min","Biography, Drama, Music","Anthony Mann","English","United States",7.3,9480,"tt0047030","N/A"
"Three Coins in the Fountain","1954",1954-05-01,"Approved","102 min","Drama, Romance","Jean Negulesco","English, Italian","United States",6.3,3633,"tt0047580","N/A"
"Three Coins in the Fountain","1954",1954-05-01,"Approved","102 min","Drama, Romance","Jean Negulesco","English, Italian","United States",6.3,3633,"tt0047580","N/A"
"Late Chrysanthemums","1954",1985-11-27,"N/A","101 min","Drama","Mikio Naruse","Japanese","Japan",7.4,1175,"tt0046750","N/A"
"Creature from the Black Lagoon","1954",1954-03-05,"G","79 min","Horror, Sci-Fi","Jack Arnold","English, Spanish","United States",6.9,32879,"tt0046876","N/A"
"Creature from the Black Lagoon","1954",1954-03-05,"G","79 min","Horror, Sci-Fi","Jack Arnold","English, Spanish","United States",6.9,32879,"tt0046876","N/A"
"Creature from the Black Lagoon","1954",1954-03-05,"G","79 min","Horror, Sci-Fi","Jack Arnold","English, Spanish","United States",6.9,32879,"tt0046876","N/A"
"Attila","1954",1958-05-17,"TV-14","80 min","Biography, Drama, History","Pietro Francisci","Italian","Italy, France",5.5,768,"tt0046731","N/A"
"Salt of the Earth","1954",1954-10-20,"Not Rated","94 min","Drama, History","Herbert J. Biberman","English, Spanish","United States",7.4,3924,"tt0047443","N/A"
"Salt of the Earth","1954",1954-10-20,"Not Rated","94 min","Drama, History","Herbert J. Biberman","English, Spanish","United States",7.4,3924,"tt0047443","N/A"
"Salt of the Earth","1954",1954-10-20,"Not Rated","94 min","Drama, History","Herbert J. Biberman","English, Spanish","United States",7.4,3924,"tt0047443","N/A"
"Godzilla","1954",2004-05-07,"Not Rated","96 min","Horror, Sci-Fi","Ishirô Honda","Japanese","Japan",7.5,36546,"tt0047034","$562,711"
"Godzilla","1954",2004-05-07,"Not Rated","96 min","Horror, Sci-Fi","Ishirô Honda","Japanese","Japan",7.5,36546,"tt0047034","$562,711"
"Godzilla","1954",2004-05-07,"Not Rated","96 min","Horror, Sci-Fi","Ishirô Honda","Japanese","Japan",7.5,36546,"tt0047034","$562,711"
"Animal Farm","1954",1959-06-19,"Approved","72 min","Animation, Drama","Joy Batchelor, John Halas","English","United Kingdom, United States",7.2,18498,"tt0047834","N/A"
"Animal Farm","1954",1959-06-19,"Approved","72 min","Animation, Drama","Joy Batchelor, John Halas","English","United Kingdom, United States",7.2,18498,"tt0047834","N/A"
"The Woman of Rumour","1954",1954-06-20,"N/A","83 min","Drama, Romance","Kenji Mizoguchi","Japanese","Japan",7.4,1366,"tt0047638","N/A"
"Cómicos","1954",1959-05-21,"N/A","92 min","Drama","Juan Antonio Bardem","Spanish","Spain, Argentina",6.8,204,"tt0045665","N/A"
"An American in Rome","1954",1985-11-20,"N/A","94 min","Comedy","Steno","Italian","Italy",6.9,1853,"tt0046705","N/A"
"Carmen Jones","1954",1954-10-28,"Approved","105 min","Drama, Musical, Romance","Otto Preminger","English","United States",6.8,5749,"tt0046828","N/A"
"Carmen Jones","1954",1954-10-28,"Approved","105 min","Drama, Musical, Romance","Otto Preminger","English","United States",6.8,5749,"tt0046828","N/A"
"Carmen Jones","1954",1954-10-28,"Approved","105 min","Drama, Musical, Romance","Otto Preminger","English","United States",6.8,5749,"tt0046828","N/A"
"Miseria e nobiltà","1954",1955-02-16,"N/A","60 min","Comedy","Mario Mattoli","Italian","Italy",7.6,1993,"tt0047238","N/A"
"Jail Bait","1954",1954-05-12,"Unrated","71 min","Crime, Drama, Film-Noir","Edward D. Wood Jr.","English","United States",3.7,2830,"tt0047127","N/A"
"Jail Bait","1954",1954-05-12,"Unrated","71 min","Crime, Drama, Film-Noir","Edward D. Wood Jr.","English","United States",3.7,2830,"tt0047127","N/A"
"The Caine Mutiny","1954",1954-06-24,"Not Rated","124 min","Drama, War","Edward Dmytryk","English","United States",7.7,29128,"tt0046816","$21,750,000"
"The Caine Mutiny","1954",1954-06-24,"Not Rated","124 min","Drama, War","Edward Dmytryk","English","United States",7.7,29128,"tt0046816","$21,750,000"
"The Caine Mutiny","1954",1954-06-24,"Not Rated","124 min","Drama, War","Edward Dmytryk","English","United States",7.7,29128,"tt0046816","$21,750,000"
"Senso","1954",1968-07-08,"Not Rated","123 min","Drama, Romance, War","Luchino Visconti","Italian, German","Italy",7.4,7340,"tt0047469","$27,723"
"Senso","1954",1968-07-08,"Not Rated","123 min","Drama, Romance, War","Luchino Visconti","Italian, German","Italy",7.4,7340,"tt0047469","$27,723"
"To Catch a Thief","1955",1955-08-05,"PG","106 min","Mystery, Romance, Thriller","Alfred Hitchcock","English, French","United States",7.4,77716,"tt0048728","N/A"
"To Catch a Thief","1955",1955-08-05,"PG","106 min","Mystery, Romance, Thriller","Alfred Hitchcock","English, French","United States",7.4,77716,"tt0048728","N/A"
"To Catch a Thief","1955",1955-08-05,"PG","106 min","Mystery, Romance, Thriller","Alfred Hitchcock","English, French","United States",7.4,77716,"tt0048728","N/A"
"The Night of the Hunter","1955",1955-07-27,"Not Rated","92 min","Crime, Drama, Film-Noir","Charles Laughton","English","United States",8,94852,"tt0048424","N/A"
"The Night of the Hunter","1955",1955-07-27,"Not Rated","92 min","Crime, Drama, Film-Noir","Charles Laughton","English","United States",8,94852,"tt0048424","N/A"
"The Night of the Hunter","1955",1955-07-27,"Not Rated","92 min","Crime, Drama, Film-Noir","Charles Laughton","English","United States",8,94852,"tt0048424","N/A"
"Lady and the Tramp","1955",1955-06-22,"G","76 min","Animation, Adventure, Comedy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","English","United States",7.3,144106,"tt0048280","$93,602,326"
"Lady and the Tramp","1955",1955-06-22,"G","76 min","Animation, Adventure, Comedy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","English","United States",7.3,144106,"tt0048280","$93,602,326"
"Lady and the Tramp","1955",1955-06-22,"G","76 min","Animation, Adventure, Comedy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","English","United States",7.3,144106,"tt0048280","$93,602,326"
"Daddy Long Legs","1955",1955-05-05,"Approved","126 min","Musical, Romance","Jean Negulesco","English, French","United States",6.7,4174,"tt0047969","N/A"
"Smiles of a Summer Night","1955",1957-12-23,"Not Rated","109 min","Comedy, Romance","Ingmar Bergman","Swedish","Sweden",7.7,14404,"tt0048641","N/A"
"Smiles of a Summer Night","1955",1957-12-23,"Not Rated","109 min","Comedy, Romance","Ingmar Bergman","Swedish","Sweden",7.7,14404,"tt0048641","N/A"
"The Ladykillers","1955",1956-02-03,"Not Rated","91 min","Comedy, Crime","Alexander Mackendrick","English","United Kingdom",7.6,30714,"tt0048281","$23,213"
"The Ladykillers","1955",1956-02-03,"Not Rated","91 min","Comedy, Crime","Alexander Mackendrick","English","United Kingdom",7.6,30714,"tt0048281","$23,213"
"The Ladykillers","1955",1956-02-03,"Not Rated","91 min","Comedy, Crime","Alexander Mackendrick","English","United Kingdom",7.6,30714,"tt0048281","$23,213"
"Guys and Dolls","1955",1955-12-23,"Not Rated","150 min","Comedy, Crime, Musical","Joseph L. Mankiewicz","English","United States",7.1,18692,"tt0048140","N/A"
"Guys and Dolls","1955",1955-12-23,"Not Rated","150 min","Comedy, Crime, Musical","Joseph L. Mankiewicz","English","United States",7.1,18692,"tt0048140","N/A"
"Guys and Dolls","1955",1955-12-23,"Not Rated","150 min","Comedy, Crime, Musical","Joseph L. Mankiewicz","English","United States",7.1,18692,"tt0048140","N/A"
"Diabolique","1955",1955-11-21,"Not Rated","117 min","Crime, Drama, Horror","Henri-Georges Clouzot","French, English","France",8.1,68337,"tt0046911","N/A"
"Diabolique","1955",1955-11-21,"Not Rated","117 min","Crime, Drama, Horror","Henri-Georges Clouzot","French, English","France",8.1,68337,"tt0046911","N/A"
"The Dam Busters","1955",1955-07-16,"Approved","105 min","Drama, History, War","Michael Anderson","English","United Kingdom",7.4,11113,"tt0046889","N/A"
"The Dam Busters","1955",1955-07-16,"Approved","105 min","Drama, History, War","Michael Anderson","English","United Kingdom",7.4,11113,"tt0046889","N/A"
"Rebel Without a Cause","1955",1955-10-27,"PG-13","111 min","Drama","Nicholas Ray","English","United States",7.6,95983,"tt0048545","$212,780"
"Rebel Without a Cause","1955",1955-10-27,"PG-13","111 min","Drama","Nicholas Ray","English","United States",7.6,95983,"tt0048545","$212,780"
"Rebel Without a Cause","1955",1955-10-27,"PG-13","111 min","Drama","Nicholas Ray","English","United States",7.6,95983,"tt0048545","$212,780"
"The Fast and the Furious","1954",1954-11-01,"Approved","73 min","Crime, Drama, Film-Noir","John Ireland, Edward Sampson","English","United States",5.3,1497,"tt0046969","N/A"
"The Big Combo","1955",1955-02-13,"Not Rated","87 min","Crime, Drama, Film-Noir","Joseph H. Lewis","English, Swedish, Latin, German","United States",7.3,8255,"tt0047878","N/A"
"The Big Combo","1955",1955-02-13,"Not Rated","87 min","Crime, Drama, Film-Noir","Joseph H. Lewis","English, Swedish, Latin, German","United States",7.3,8255,"tt0047878","N/A"
"Rififi","1955",1956-06-05,"Not Rated","118 min","Crime, Drama, Thriller","Jules Dassin","French, Italian, English","France",8.1,36173,"tt0048021","$517,975"
"Rififi","1955",1956-06-05,"Not Rated","118 min","Crime, Drama, Thriller","Jules Dassin","French, Italian, English","France",8.1,36173,"tt0048021","$517,975"
"Rififi","1955",1956-06-05,"Not Rated","118 min","Crime, Drama, Thriller","Jules Dassin","French, Italian, English","France",8.1,36173,"tt0048021","$517,975"
"We're No Angels","1955",1955-09-08,"Not Rated","106 min","Comedy, Crime, Romance","Michael Curtiz","English, French","United States",7.4,10373,"tt0048801","N/A"
"We're No Angels","1955",1955-09-08,"Not Rated","106 min","Comedy, Crime, Romance","Michael Curtiz","English, French","United States",7.4,10373,"tt0048801","N/A"
"Bride of the Monster","1955",1956-02-01,"Passed","69 min","Horror, Sci-Fi","Edward D. Wood Jr.","English","United States",4.1,7479,"tt0047898","N/A"
"Bride of the Monster","1955",1956-02-01,"Passed","69 min","Horror, Sci-Fi","Edward D. Wood Jr.","English","United States",4.1,7479,"tt0047898","N/A"
"Tarantula","1955",1956-02-20,"Approved","80 min","Horror, Sci-Fi","Jack Arnold","English","United States",6.4,10440,"tt0048696","$1,100,000"
"Tarantula","1955",1956-02-20,"Approved","80 min","Horror, Sci-Fi","Jack Arnold","English","United States",6.4,10440,"tt0048696","$1,100,000"
"Marty","1955",1955-06-10,"Not Rated","90 min","Drama, Romance","Delbert Mann","English, German, Italian","United States",NA,26112,"tt0048356","N/A"
"Oklahoma!","1955",1956-11-23,"G","145 min","Comedy, Drama, Musical","Fred Zinnemann","English","United States",7,13597,"tt0048445","N/A"
"Oklahoma!","1955",1956-11-23,"G","145 min","Comedy, Drama, Musical","Fred Zinnemann","English","United States",7,13597,"tt0048445","N/A"
"Oklahoma!","1955",1956-11-23,"G","145 min","Comedy, Drama, Musical","Fred Zinnemann","English","United States",7,13597,"tt0048445","N/A"
"The Seven Year Itch","1955",1955-07-02,"Not Rated","105 min","Comedy, Romance","Billy Wilder","English","United States",7.1,41469,"tt0048605","N/A"
"The Seven Year Itch","1955",1955-07-02,"Not Rated","105 min","Comedy, Romance","Billy Wilder","English","United States",7.1,41469,"tt0048605","N/A"
"Summertime","1955",1955-11-07,"Approved","100 min","Comedy, Drama, Romance","David Lean","English, Italian","United Kingdom, United States",7.1,9711,"tt0048673","N/A"
"Summertime","1955",1955-11-07,"Approved","100 min","Comedy, Drama, Romance","David Lean","English, Italian","United Kingdom, United States",7.1,9711,"tt0048673","N/A"
"Killer's Kiss","1955",1955-10-01,"Not Rated","67 min","Crime, Drama, Film-Noir","Stanley Kubrick","English","United States",6.6,25368,"tt0048254","N/A"
"Killer's Kiss","1955",1955-10-01,"Not Rated","67 min","Crime, Drama, Film-Noir","Stanley Kubrick","English","United States",6.6,25368,"tt0048254","N/A"
"Pather Panchali","1955",1955-08-26,"Not Rated","125 min","Drama","Satyajit Ray","Bengali","India",8.2,36473,"tt0048473","$134,241"
"Pather Panchali","1955",1955-08-26,"Not Rated","125 min","Drama","Satyajit Ray","Bengali","India",8.2,36473,"tt0048473","$134,241"
"Godzilla Raids Again","1955",1959-05-21,"Approved","78 min","Horror, Sci-Fi","Motoyoshi Oda, Ishirô Honda","Japanese","Japan",5.7,7586,"tt0048127","N/A"
"Godzilla Raids Again","1955",1959-05-21,"Approved","78 min","Horror, Sci-Fi","Motoyoshi Oda, Ishirô Honda","Japanese","Japan",5.7,7586,"tt0048127","N/A"
"This Island Earth","1955",1955-06-15,"Passed","86 min","Horror, Mystery, Sci-Fi","Joseph M. Newman, Jack Arnold","English","United States",5.9,10477,"tt0047577","N/A"
"This Island Earth","1955",1955-06-15,"Passed","86 min","Horror, Mystery, Sci-Fi","Joseph M. Newman, Jack Arnold","English","United States",5.9,10477,"tt0047577","N/A"
"The Glass Slipper","1955",1955-11-29,"Unrated","93 min","Family, Fantasy, Musical","Charles Walters","English","United States",6.4,1531,"tt0048124","N/A"
"My Sister Eileen","1955",1955-09-22,"Not Rated","108 min","Comedy, Musical, Romance","Richard Quine","English, Portuguese","United States",6.8,1963,"tt0048401","N/A"
"My Sister Eileen","1955",1955-09-22,"Not Rated","108 min","Comedy, Musical, Romance","Richard Quine","English, Portuguese","United States",6.8,1963,"tt0048401","N/A"
"The Prisoner","1955",1955-12-11,"Not Rated","91 min","Drama","Peter Glenville","English","United Kingdom",6.8,1093,"tt0048512","N/A"
"The Prisoner","1955",1955-12-11,"Not Rated","91 min","Drama","Peter Glenville","English","United Kingdom",6.8,1093,"tt0048512","N/A"
"The Trouble with Harry","1955",1955-10-03,"PG","99 min","Comedy, Mystery","Alfred Hitchcock","English","United States",7,40386,"tt0048750","N/A"
"The Trouble with Harry","1955",1955-10-03,"PG","99 min","Comedy, Mystery","Alfred Hitchcock","English","United States",7,40386,"tt0048750","N/A"
"The Trouble with Harry","1955",1955-10-03,"PG","99 min","Comedy, Mystery","Alfred Hitchcock","English","United States",7,40386,"tt0048750","N/A"
"The Prodigal","1955",1955-05-06,"Approved","112 min","Drama, Music, Mystery","Richard Thorpe","English","United States",5.2,681,"tt0048517","N/A"
"The Grand Maneuver","1955",1956-10-01,"N/A","106 min","Comedy, Drama, Romance","René Clair","French","France, Italy",6.7,1094,"tt0048133","N/A"
"Not as a Stranger","1955",1955-07-01,"Passed","135 min","Drama, Film-Noir, Romance","Stanley Kramer","English","United States",6.7,2382,"tt0048432","N/A"
"Not as a Stranger","1955",1955-07-01,"Passed","135 min","Drama, Film-Noir, Romance","Stanley Kramer","English","United States",6.7,2382,"tt0048432","N/A"
"Not as a Stranger","1955",1955-07-01,"Passed","135 min","Drama, Film-Noir, Romance","Stanley Kramer","English","United States",6.7,2382,"tt0048432","N/A"
"Le Amiche","1955",1957-02-08,"Not Rated","104 min","Drama, Romance","Michelangelo Antonioni","Italian","Italy",7.2,3306,"tt0047821","$68,167"
"Le Amiche","1955",1957-02-08,"Not Rated","104 min","Drama, Romance","Michelangelo Antonioni","Italian","Italy",7.2,3306,"tt0047821","$68,167"
"All That Heaven Allows","1955",1955-12-25,"Passed","89 min","Drama, Romance","Douglas Sirk","English","United States",7.6,16042,"tt0047811","N/A"
"All That Heaven Allows","1955",1955-12-25,"Passed","89 min","Drama, Romance","Douglas Sirk","English","United States",7.6,16042,"tt0047811","N/A"
"Lola Montès","1955",1955-12-23,"Not Rated","116 min","Biography, Drama, Romance","Max Ophüls","French, German, English","France, West Germany",7.2,5804,"tt0048308","$120,306"
"Lola Montès","1955",1955-12-23,"Not Rated","116 min","Biography, Drama, Romance","Max Ophüls","French, German, English","France, West Germany",7.2,5804,"tt0048308","$120,306"
"Bad Day at Black Rock","1955",1955-02-13,"Passed","81 min","Crime, Drama, Mystery","John Sturges","English","United States",7.7,23569,"tt0047849","N/A"
"Bad Day at Black Rock","1955",1955-02-13,"Passed","81 min","Crime, Drama, Mystery","John Sturges","English","United States",7.7,23569,"tt0047849","N/A"
"Richard III","1955",1956-03-11,"Not Rated","161 min","Biography, Drama, History","Laurence Olivier","English, Latin","United Kingdom",7.4,4956,"tt0049674","N/A"
"Richard III","1955",1956-03-11,"Not Rated","161 min","Biography, Drama, History","Laurence Olivier","English, Latin","United Kingdom",7.4,4956,"tt0049674","N/A"
"Richard III","1955",1956-03-11,"Not Rated","161 min","Biography, Drama, History","Laurence Olivier","English, Latin","United Kingdom",7.4,4956,"tt0049674","N/A"
"School for Love","1955",1955-06-15,"N/A","96 min","Comedy, Drama","Marc Allégret","French","France",5.1,237,"tt0048103","N/A"
"The Searchers","1956",1956-05-26,"Passed","119 min","Adventure, Drama, Western","John Ford","English, Navajo, Spanish","United States",7.8,94082,"tt0049730","N/A"
"The Searchers","1956",1956-05-26,"Passed","119 min","Adventure, Drama, Western","John Ford","English, Navajo, Spanish","United States",7.8,94082,"tt0049730","N/A"
"The Searchers","1956",1956-05-26,"Passed","119 min","Adventure, Drama, Western","John Ford","English, Navajo, Spanish","United States",7.8,94082,"tt0049730","N/A"
"The Spanish Gardener","1956",1957-01-28,"Not Rated","91 min","Drama","Philip Leacock","English, Spanish","United Kingdom",6.8,994,"tt0049787","N/A"
"The Bad Seed","1956",1956-09-12,"Approved","129 min","Drama, Horror, Thriller","Mervyn LeRoy","English","United States",7.4,15212,"tt0048977","N/A"
"The Bad Seed","1956",1956-09-12,"Approved","129 min","Drama, Horror, Thriller","Mervyn LeRoy","English","United States",7.4,15212,"tt0048977","N/A"
"The Bad Seed","1956",1956-09-12,"Approved","129 min","Drama, Horror, Thriller","Mervyn LeRoy","English","United States",7.4,15212,"tt0048977","N/A"
